p,d,q,P,Q,m,AIC,BIC
3,1,2,3,2,3,6662.901774985672,6716.5028147155635
3,1,2,3,2,21,6662.901774985672,6716.5028147155635
4,0,1,1,1,3,10893.311147683899,10920.108485875176
4,0,1,1,1,21,10893.311147683899,10920.108485875176
4,0,1,1,2,3,10893.311147683899,10920.108485875176
4,0,1,1,2,21,10893.311147683899,10920.108485875176
4,0,1,2,1,3,9038.325125979105,9070.48193180864
4,0,1,2,1,21,9038.325125979105,9070.48193180864
4,0,1,2,2,3,9038.325125979105,9070.48193180864
4,0,1,2,2,21,9038.325125979105,9070.48193180864
4,0,1,3,1,3,8991.569578295395,9029.085851763184
4,0,1,3,1,21,8991.569578295395,9029.085851763184
4,0,1,3,2,3,8991.569578295395,9029.085851763184
4,0,1,3,2,21,8991.569578295395,9029.085851763184
4,0,2,1,1,3,9038.3997546224109,9070.556560451945
4,0,2,1,1,21,9038.3997546224109,9070.556560451945
4,0,2,1,2,3,9038.3997546224109,9070.556560451945
4,0,2,1,2,21,9038.3997546224109,9070.556560451945
4,0,2,2,1,3,9080.139364542125,9117.655638009914
4,0,2,2,1,21,9080.139364542125,9117.655638009914
4,0,2,2,2,3,9080.139364542125,9117.655638009914
4,0,2,2,2,21,9080.139364542125,9117.655638009914
4,0,2,3,1,3,8592.393479971288,8635.269221077333
4,0,2,3,1,21,8592.393479971288,8635.269221077333
4,0,2,3,2,3,8592.393479971288,8635.269221077333
4,0,2,3,2,21,8592.393479971288,8635.269221077333
4,1,1,1,1,3,8079.759113134409,8117.2753866021985
4,1,1,1,1,21,8079.759113134409,8117.2753866021985
4,1,1,1,2,3,8079.759113134409,8117.2753866021985
4,1,1,1,2,21,8079.759113134409,8117.2753866021985
4,1,1,2,1,3,7338.503021597851,7381.378762703896
4,1,1,2,1,21,7338.503021597851,7381.378762703896
4,1,1,2,2,3,7338.503021597851,7381.378762703896
4,1,1,2,2,21,7338.503021597851,7381.378762703896
4,1,1,3,1,3,7347.1719167180945,7395.407125462395
4,1,1,3,1,21,7347.1719167180945,7395.407125462395
4,1,1,3,2,3,7347.1719167180945,7395.407125462395
4,1,1,3,2,21,7347.1719167180945,7395.407125462395
4,1,2,1,1,3,7338.8950838694,7381.770824975445
4,1,2,1,1,21,7338.8950838694,7381.770824975445
4,1,2,1,2,3,7338.8950838694,7381.770824975445
4,1,2,1,2,21,7338.8950838694,7381.770824975445
4,1,2,2,1,3,7314.067012791824,7362.302221536124
4,1,2,2,1,21,7314.067012791824,7362.302221536124
4,1,2,2,2,3,7314.067012791824,7362.302221536124
4,1,2,2,2,21,7314.067012791824,7362.302221536124
4,1,2,3,1,3,6875.384001910315,6928.978678292871
4,1,2,3,1,21,6875.384001910315,6928.978678292871
4,1,2,3,2,3,6875.384001910315,6928.978678292871
4,1,2,3,2,21,6875.384001910315,6928.978678292871
